symbol,entry_date,exit_date,holding_days,exit_reason,entry_rank,exit_rank,entry_cmvs,exit_cmvs,entry_rsi,exit_rsi,entry_atr,exit_atr,entry_price,exit_price,peak_return,final_return,forward_return_5d,forward_return_10d,forward_return_20d,post_exit_max_return,post_exit_max_drawdown,days_to_peak,days_to_trough,missed_upside,saved_drawdown
NFLX,2023-08-02,2023-08-03,1,ema9_break,6,6,0.2548067517175272,0.2548067517175272,49.10990215332462,49.730052884912475,1.410435616435755,1.4146902152617724,43.52,42.78,0.0,-0.017003676470588314,0.005142589995324798,-0.05797101449275377,0.013791491351098584,0.03038803179055627,-0.05797101449275377,2,10,0.03038803179055627,0.05797101449275377
TSLA,2023-08-02,2023-08-03,1,ema9_break,10,10,0.1440681838601818,0.1440681838601818,44.884079103498614,48.16245041073582,10.61921931206951,10.46713221835026,255.57,252.04,0.0,-0.013812262785146912,-0.02658308205046811,-0.13021742580542772,0.02396445008728776,0.02396445008728776,-0.14501666402158386,20,11,0.02396445008728776,0.14501666402158386
ADBE,2023-08-02,2023-08-04,2,ema9_break,1,1,0.5345518129820999,0.5345518129820999,60.61462780672981,58.2707199101112,14.355876515856885,13.919990465203133,539.32,526.74,0.0,-0.02332566936141811,-0.034723013251319435,-0.03533052359798006,0.06923719482097423,0.06923719482097423,-0.03533052359798006,20,10,0.06923719482097423,0.03533052359798006
GOOGL,2023-08-02,2023-08-07,5,ema9_break,2,2,0.45938123679156223,0.45938123679156223,58.14776303416407,63.39531765810007,3.394356068214328,3.327817158114751,129.45,129.16,0.0,-0.002240247199690959,0.016800867141530063,-0.0061164447197273875,0.05117683493341607,0.05427376896872094,-0.013161969650046457,18,9,0.05427376896872094,0.013161969650046457
PEP,2023-09-05,2023-09-06,1,ema9_break,11,11,0.0814167321078394,0.0814167321078394,32.367120274271116,34.36024855109716,2.5213806595868524,2.449139183902079,175.27,174.92,0.0,-0.001996919039196743,0.027212439972559066,0.019780471072490258,-0.03435856391493253,0.03607363366110228,-0.041276011891150266,6,19,0.03607363366110228,0.041276011891150266
NVDA,2023-09-05,2023-09-07,2,ema9_break,2,2,0.41421100051066007,0.41421100051066007,61.129233605221316,50.48903407000661,1.8592538766743714,1.8702240059080042,48.22,45.53,0.006843633347158873,-0.05578598092077969,0.0010981770261364598,-0.09905556775752244,-0.01844937403909519,0.0010981770261364598,-0.09905556775752244,5,10,0.0010981770261364598,0.09905556775752244
AMZN,2023-09-05,2023-09-07,2,ema9_break,7,7,0.2474522438037985,0.2474522438037985,56.207621929188235,56.6079104729292,3.096144576709303,3.2058593544075107,137.73,133.9,0.0,-0.027808030204022227,0.0808065720687079,-0.0341299477221807,-0.059297983569828294,0.0817774458551157,-0.06855862584017924,4,18,0.0817774458551157,0.06855862584017924
TSLA,2023-09-05,2023-09-11,6,ema9_break,6,6,0.2664810787901783,0.2664810787901783,55.85706369899212,63.09714430155993,10.874719517227623,11.861990944698517,245.0,264.27,0.046897959183673565,0.07865306122448978,0.003821848866689237,-0.0653876716993983,-0.01740644038294159,0.044537783327657454,-0.08994588867446163,3,12,0.044537783327657454,0.08994588867446163
ADBE,2023-09-05,2023-09-13,8,ema9_break,1,1,0.5720675136993933,0.5720675136993933,68.68957181108675,57.531449150769376,13.514217780047765,13.78197878258296,557.88,557.02,0.012547501254750015,-0.0015415501541550247,-0.038131485404473864,-0.09769846684140593,-0.012764353165056974,-0.008725000897633839,-0.09769846684140593,1,10,-0.008725000897633839,0.09769846684140593
NFLX,2023-09-05,2023-09-13,8,ema9_break,5,5,0.30576420355960965,0.30576420355960965,61.49233750800748,40.611578306502814,1.2415854538171298,1.259707359491157,43.84,43.55,0.023494525547445022,-0.006614963503649762,-0.11297359357060843,-0.13295063145809416,-0.15981630309988504,-0.08036739380022961,-0.15981630309988504,1,20,-0.08036739380022961,0.15981630309988504
MSFT,2023-09-05,2023-09-18,13,ema9_break,9,9,0.16818498195779272,0.16818498195779272,57.48572419847256,48.54851841835312,6.322010791074471,5.949798632548728,329.0,327.8,0.02948328267477196,-0.0036474164133738496,-0.03129957291031116,-0.018303843807199516,0.014765100671140896,0.014765100671140896,-0.047773032336790755,20,6,0.014765100671140896,0.047773032336790755
GOOGL,2023-09-05,2023-09-21,16,ema9_break,3,3,0.3681803176407865,0.3681803176407865,64.66732208269886,41.67181158444601,2.9938034425678395,2.7864653175201637,135.44,131.44,0.02045186060248083,-0.02953337271116363,0.006618989653073726,0.027617163724893423,0.048006695069994,0.06930919050517348,-0.0218350578210591,14,3,0.06930919050517348,0.0218350578210591
COST,2023-09-05,2023-09-22,17,ema9_break,8,8,0.18013021234209076,0.18013021234209076,48.48492792690822,54.73174534951764,7.658607717106665,7.478323763408264,545.73,555.16,0.03488904769757939,0.017279607131731822,0.017652568628863774,0.004269039556163978,-0.004016860004323108,0.03508898335614963,-0.004016860004323108,18,20,0.03508898335614963,0.004016860004323108
PEP,2023-10-03,2023-10-04,1,ema9_break,10,10,0.15012638130431405,0.15012638130431405,24.63573916632417,30.23450121575563,2.4555571820027846,2.4280173832882994,168.86,168.45,0.0,-0.002428046902759884,-0.034609676461857974,-0.038112199465716756,-0.021252597209854507,-0.021252597209854507,-0.06156129415256739,20,6,-0.021252597209854507,0.06156129415256739
